creator,url,distributors,videos,best_reach,best_outlier,creator_subs,best_title,last_seen
andrewryanpov,https://www.youtube.com/@andrewryanpov,10,10,4730215,63.3,51200,"Man Turns a $20,000 Truck into a Stunning Apartment on Wheels | Start to Finish by @andrewryanpov",2026-07-25
naturalloghouse,https://www.youtube.com/@naturalloghouse,10,10,1945390,40.5,78100,This GIANT Scandinavian Wooden House Was Built in Just 120 Days | Start to Finish by@naturalloghouse,2026-07-14
Wolfpupfab,https://www.youtube.com/@Wolfpupfab,10,12,1828091,94.8,58300,Man Builds an Underground Shelter Beneath His House | From Start to Finish@Wolfpupfab,2026-07-28
JulienMalara,https://www.youtube.com/@JulienMalara,9,9,4095126,135.8,267000,He Turned 4 Shipping Containers Into a Luxury Home | Start to Finish by @JulienMalara,2026-07-18
LankHome,https://www.youtube.com/@LankHome,9,10,1467818,18.4,23100,Men Build a Dream A-Frame House With a Pool | Start to Finish by @LankHome,2026-07-26
kbuild,https://www.youtube.com/@kbuild,9,9,992309,26.3,66300,Building an Incredible Luxury Dream Mansion from the Ground Up | Full Build by @kbuild,2026-08-11
juanxiaoliu,https://www.youtube.com/@juanxiaoliu,9,11,99197,17.8,206000,A Woman Dream Projec 2 Years to Build a Fairytale Home | Home Transformation by @juanxiaoliu,2026-08-03
ArtSportArtSport,https://www.youtube.com/@ArtSportArtSport,9,10,68075,44.9,212000,Building Secret Tree House in the Middle of the Forest | Start to Finish by @ArtSportArtSport,2026-08-07
norusarubushcraft,https://www.youtube.com/@norusarubushcraft,9,11,4168,50.8,470000,Man Builds Survival Shelter In The Rainforest | From Start to Finish by  @norusarubushcraft,2026-07-27
LiveDontWatch,https://www.youtube.com/@LiveDontWatch,8,8,739601,102.3,5690,"He Builds a Dream Houseboat for his Family with only $30,000. By @LiveDontWatch",2026-07-23
frengen_engineering,https://www.youtube.com/@frengen_engineering,7,7,5112367,7.6,87600,Man Turns Old Boat into Luxury Yacht | Start to Finish by @frengen_engineering,2026-08-06
VillaAroldi,https://www.youtube.com/@VillaAroldi,7,7,1838897,434.4,31200,Man Transforms Old Italian Barn into Amazing Villa | 3-Years Timelapse by @VillaAroldi,2026-06-23
QuantumMakers,https://www.youtube.com/@QuantumMakers,7,23,989867,14.6,,From Empty Ground to a Massive Workshop | Start to Finish @RRBuildings @QuantumMakers ,2026-08-10
mypersonaljournal,https://www.youtube.com/@mypersonaljournal,7,7,868186,9.8,150000,Man Builds Beautiful Wooden Cabin in the Forest | From Start to Finish by@mypersonaljournal,2026-08-07
beccanlevisalaska,https://www.youtube.com/@beccanlevisalaska,7,7,510432,35.6,40300,A Couple Builds an Off-Grid Log Cabin Together in Alaska: @beccanlevisalaska,2026-08-07
ErikGrankvist,https://www.youtube.com/@ErikGrankvist,7,7,168091,2.0,1670000,Man Spends 6 Years Building a Log Cabin in Northern Europe | from beginning to end@ErikGrankvist​,2026-07-24
TheModernHomeProject,https://www.youtube.com/@TheModernHomeProject,6,6,1411966,180.1,402000,Man Builds a Dream Container House in the Middle of the Desert | Full Build by @themodernhomeproject,2026-08-03
DemasiLogCabin,https://www.youtube.com/@DemasiLogCabin,6,6,264041,3.0,51000,Man Builds Beautiful Handcrafted Log Cabin in the Forest | Start to Finish by @DemasiLogCabin,2026-08-11
TheOutsiderCabin,https://www.youtube.com/@TheOutsiderCabin,6,6,148112,3.0,1210000,Man Builds an Off-Grid Log Cabin in the Canadian Wilderness | Start to Finish by @TheOutsiderCabin,2026-08-04
araujocaiaque,https://www.youtube.com/@araujocaiaque,5,5,11607684,13.4,52700,Man Transforms 8 Water Tanks into Amazing Boat | Start to Finish by @araujocaiaque,2026-06-25
botanik6140,https://www.youtube.com/@botanik6140,5,10,5122774,42.0,691000,Under the Fire Is a Secret  A Camouflaged Bunker 🔥🕳️🌲 | By @botanik6140,2026-08-09
Weandnature,https://www.youtube.com/@Weandnature,5,6,1985669,14.3,246000,Family Builds Dream Pool in 25 Days | Start to Finish Conversion @Weandnature,2026-07-17
LesBricoloveurs,https://www.youtube.com/@LesBricoloveurs,5,5,1768699,70.1,32100,Man Transforms Old Farm into Luxury House | Start to Finish by @LesBricoloveurs,2026-07-19
KORcountrysidelife,https://www.youtube.com/@KORcountrysidelife,5,5,1470118,2.6,1660,Man Builds Dream Mountain Homestay | Start to Finish by @KORcountrysidelife,2026-07-18
desentoca2309,https://www.youtube.com/@desentoca2309,5,5,1309324,8.4,25300,Family Converts an Abandoned Bus Into a Dream Home on Wheels | Start to Finish by @desentoca2309,2026-07-25
Tornado_Dave,https://www.youtube.com/@Tornado_Dave,5,5,1099948,1.9,306000,Man Builds SECRET Tunnel and Bunker below His Backyard | Start to Finish by @Tornado_Dave,2026-07-08
DoBeDiff,https://www.youtube.com/@DoBeDiff,5,5,757699,7.7,59000,"Couple Builds Their Dream Tiny Home for Only $5,000 | Start to Finish by @DoBeDiff  ​",2026-07-21
growinginfrance,https://www.youtube.com/@growinginfrance,5,5,756888,17.4,18300,"Family Renovates 100-Year-Old French Farmhouse, Turns It Into a Dream Home | by @growinginfrance",2026-05-18
enancinar,https://www.youtube.com/@enancinar,5,5,514723,68.7,3360,A Man Turns an Old Mercedes Bus into a Cozy Home on Wheels | Timelapse by @enancinar,2026-07-11
MySelfReliance,https://www.youtube.com/@MySelfReliance,5,5,188896,31.2,2210000,4 Years Alone: A 70-Year-Old Man Builds a Log Cabin in the forest | performed by@MySelfReliance,2026-06-25
diy8288,https://www.youtube.com/@diy8288,5,5,58833,0.7,7010,Man Builds a Traditional Japanese Wooden House from Scratch | Start to Finish by @diy8288,2026-06-30
homemade_madness,https://www.youtube.com/@homemade_madness,4,5,4818629,17.5,251000,Man Builds a 180HP JET SKI with a Motorcycle Engine | Full Build by @homemade_madness,2026-06-19
ThanhĐiềnNTĐ,https://www.youtube.com/@ThanhĐiềnNTĐ,4,5,3884006,7.3,242000,Man Builds a Full-Size Wooden Ship from Raw Logs | Start to Finish by @ThanhĐiềnNTĐ,2026-08-10
LibraryofConstruction,https://www.youtube.com/@LibraryofConstruction,4,4,3366100,3.4,17100,"Man Spends $30,000 to Build an Underground Bunker | Start to Finish by @LibraryofConstruction",2026-06-07
WildernessSurvivalMan,https://www.youtube.com/@WildernessSurvivalMan,4,5,2922624,4.6,239000,24 Hours in a Survival Cabin Amidst Heavy Rain 🌧️🌲🔥 | By @WildernessSurvivalMan,2026-07-30
klerobi1,https://www.youtube.com/@klerobi1,4,4,1848504,1.9,119000,Man Turns Wooden Pallets into a Home with a Kitchen and Bathroom | Start to Finish by @klerobi1,2026-07-30
Paullivesdifferent,https://www.youtube.com/@Paullivesdifferent,4,4,1544471,1.9,15200,Man Builds Dream Off-Grid House | Start to Finish by @Paullivesdifferent,2026-06-27
andersboisentinyhouse,https://www.youtube.com/@andersboisentinyhouse,4,4,611341,81.6,143000,A Man Builds A Sustainable Cabin In The Woods | From Start to Finish by @andersboisentinyhouse​,2026-06-27
domegaia,https://www.youtube.com/@domegaia,4,4,591891,45.4,63500,Man Built a LUXURY Dome House in 72+ HOURS! (Start to Finish) @domegaia,2026-07-29
MeadowlarkLogHomes,https://www.youtube.com/@MeadowlarkLogHomes,4,4,547733,6.2,8080,Family Builds a Stunning Log Cabin During a Harsh Winter Snowstorm  | by @MeadowlarkLogHomes,2026-08-06
dialtommy,https://www.youtube.com/@dialtommy,4,4,369102,9.2,19400,Man Builds Dream Cabin in the Forest with Family | Start to Finish by @dialtommy,2026-07-05
cabinlife4551,https://www.youtube.com/@cabinlife4551,4,4,212751,2.4,22500,Man Builds Beautiful Off Grid Cabin Alone in the Wilderness | Start to Finish@cabinlife4551​,2026-07-18
lesnoy_badger1544,https://www.youtube.com/@lesnoy_badger1544,4,4,204203,2.1,51200,He’s Only 20 – But Built This Entire Cabin With Just Hand Tools. @lesnoy_badger1544,2026-07-28
KYLESCABIN,https://www.youtube.com/@KYLESCABIN,4,4,79481,0.9,326000,I Built My Dream Off Grid Cabin In The Woods | Start To Finish @KYLESCABIN @QuantumMakers ,2026-08-06
perfectidea,https://www.youtube.com/@perfectidea,4,4,68898,15.1,215000,Building the CHEAPEST House From Scratch in Just 10 Days | by @perfectidea,2026-08-11
Mrhuubushcraft,https://www.youtube.com/@Mrhuubushcraft,4,4,44879,4.2,43800,Man Builds Off-Grid Cabin from Scratch Using Only Hand Tools | Start to Finish by @Mrhuubushcraft,2026-06-18
RestorationsSkills6886,https://www.youtube.com/@RestorationsSkills6886,4,4,4336,2.9,27600,From Scrap to Powerhouse | 30-Year-Old Generator Restoration Review | @RestorationsSkills6886,2026-07-29
septemberflow,https://www.youtube.com/@septemberflow,3,4,6224054,6.0,4730,"Man Builds $15,000 RC Lamborghini with Real Engine | Start to Finish by @septemberflow",2026-06-22
BushcraftLeo,https://www.youtube.com/@BushcraftLeo,3,3,3702673,4.5,32100,Man Builds a Raft Out of Trash on Deserted Island (Solo!) | Start to Finish by @BushcraftLeo,2026-05-17
NickandMaela,https://www.youtube.com/@NickandMaela,3,3,1680975,17.3,155000,A Couple Built a Wooden Cabin by Themselves in 2.5 Years Using Only Basic Tools: @NickandMaela‬,2026-07-10
European_Homesteading,https://www.youtube.com/@European_Homesteading,3,3,1341304,1.6,6810,"Man Renovates 75-Year-Old Mud House, Turns It Into Dream Home |Start to Finish@European_Homesteading",2026-07-06
ateliermavi,https://www.youtube.com/@ateliermavi,3,3,1191329,23.2,117000,Couple spends ONE YEAR restoring a 100-year-old stone house in Italy | by @ateliermavi,2026-08-06
JJfishing19marine,https://www.youtube.com/@JJfishing19marine,3,3,1049493,34.8,157000,Man Builds THE Fastest Traditional Boat with Engine | Start to Finish by @JJfishing19marine,2026-07-31
channel520,https://www.youtube.com/@channel520,3,3,633624,11.5,98300,Young Man Carves a $1 Million Modern Home into a Massive Rock | Built in 6 Months By @channel520,2026-08-08
FinnishPlayground,https://www.youtube.com/@FinnishPlayground,3,3,622700,1.7,49600,Part 1 - Transforming Your Backyard into a Cozy Little Wooden House | By @FinnishPlayground,2026-06-25
OneFootOfftheGrid,https://www.youtube.com/@OneFootOfftheGrid,3,3,591631,3.2,40800,Couple Builds OFF-GRID Luxury Wooden Cabin Deep in the Forest |Start to Finish@OneFootOfftheGrid ​,2026-07-12
kevcatbuildit9478,https://www.youtube.com/@kevcatbuildit9478,3,3,508381,2.3,5490,Couple Builds Dream Lake House From Scratch | Start to Finish by @kevcatbuildit9478,2026-07-14
aboulderlifeoffgrid,https://www.youtube.com/@aboulderlifeoffgrid,3,3,439091,4.9,27400,Couple Builds Amazing Off-Grid Dream Home for Their Family | Start to Finish@aboulderlifeoffgrid,2026-07-18
ivan_bushcraft,https://www.youtube.com/@ivan_bushcraft,3,4,394026,4.3,67400,"Building a Bushcraft Log Cabin in the Woods  Off-Grid, Self-Sufficient Living |By @ivan_bushcraft",2026-08-06
stephandmicah,https://www.youtube.com/@stephandmicah,3,3,349924,0.8,3420,Family Transforms 23-Year-Old Ambulance into a Dream Home | Start to Finish Build by@stephandmicah,2026-08-06
PrimitiveTechnologyIdea,https://www.youtube.com/@PrimitiveTechnologyIdea,3,4,166492,8.4,6500000,Man Spends 3 Months Building a Secret Dream Shelter Into a Cliff | by @PrimitiveTechnologyIdea,2026-07-06
papatechnologies,https://www.youtube.com/@papatechnologies,3,3,45996,178.6,1140000,Two Men Build a Complete Timber Home From Scratch | by @papatechnologies,2026-07-05
Elijah-House,https://www.youtube.com/@Elijah-House,3,3,35454,3.1,6510,Man Builds a Stunning Luxurious Dream House Alone | Start to Finish by @Elijah-House,2026-08-05
restorationt2,https://www.youtube.com/@restorationt2,3,3,33350,9.1,396000,Young Man Rebuilds a $10 Broken Motorbike into a Kawasaki | Start To Finish by @restorationt2,2026-05-05
Marshallclassic,https://www.youtube.com/@Marshallclassic,3,3,27048,0.4,54900,Man Builds Incredible TREE SHELTERS Alone in the Forest | Bushcraft by @Marshallclassic​,2026-08-05
DennisKoburger,https://www.youtube.com/@DennisKoburger,3,3,18149,1.4,124000,The ONLY Van Build Video You Need to Watch (Start to Finish) | @DennisKoburger,2026-06-24
anvswild,https://www.youtube.com/@anvswild,3,3,6726,1.3,128000,From Raw Jungle to Cozy Sanctuary Using Only Hand Tools | Start To Finish by @anvswild,2026-08-04
forestexpanses,https://www.youtube.com/@forestexpanses,2,3,12683214,19.9,94500,First night in the log cabin — A bear appeared right outside 🐻🔥🌲 | By @forestexpanses,2026-08-07
AtlasSurvivalShelters,https://www.youtube.com/@AtlasSurvivalShelters,2,2,6334363,431.0,703000,"Man builds a $400,000 SECRET Underground Bunker | Start to Finish by @AtlasSurvivalShelters",2025-06-24
Gabriel.Leni100,https://www.youtube.com/@Gabriel.Leni100,2,2,3768088,4.6,14600,"Family Renovates 100-Year-Old House, Turns It Into a Dream Home | Start to Finish @Gabriel.Leni100",2026-01-11
JerryRigEverything,https://www.youtube.com/@JerryRigEverything,2,2,3244480,220.7,10000000,A Man builds a SECRET Underground Bunker in his Backyard | Start to Finish by @JerryRigEverything,2025-04-07
karakum_outdoors,https://www.youtube.com/@karakum_outdoors,2,5,3235140,5.1,262000,Creating a Completely Hidden Shelter in the Forest | By @karakum_outdoors,2026-08-02
SteepintheWoods,https://www.youtube.com/@SteepintheWoods,2,2,2570630,2.6,32300,Man Builds a 2-Story House From FREE Pallets in the Mountains | Start to Finish by @SteepintheWoods,2026-04-17
belaruscustoms,https://www.youtube.com/@belaruscustoms,2,3,1253944,1.2,57800,Man uses Diesel Car Engine to Build a Monster Bike | Start to Finish by @belaruscustoms,2026-05-29
Rehabit8,https://www.youtube.com/@Rehabit8,2,2,1229678,1.2,46500,Couple Transforms Bus into Luxury Mobile Home | Full Conversion by @Rehabit8,2026-07-10
bradyoung2174,https://www.youtube.com/@bradyoung2174,2,2,1224548,1.5,978,Building a Garage + House in 8 Minutes TIMELAPSE | Start to Finish by @bradyoung2174,2026-07-29
AlexanderBushcraft776,https://www.youtube.com/@AlexanderBushcraft776,2,2,1145063,5.9,42700,From Frozen Rubbles to a Warm Shelter | Surviving at -45°C | By @AlexanderBushcraft776,2026-07-26
OffGridLife,https://www.youtube.com/@OffGridLife,2,2,851326,3.6,2540000,Couple spends 3 months building a brick and clay pizza oven by hand | performed by@OffGridLife,2026-08-10
skoolievanblog,https://www.youtube.com/@skoolievanblog,2,2,693321,8.4,5310,Couple Turns School bus into Luxury Camper | 1-Year Timelapse by @skoolievanblog​,2026-01-17
user-Vozrozhdenie,https://www.youtube.com/@user-Vozrozhdenie,2,2,656603,1.1,32900,Woman Turned Styrofoam Into a HOUSE | Start to Finish by @user-Vozrozhdenie,2025-10-18
RobsCarpentryAndWoodworks,https://www.youtube.com/@RobsCarpentryAndWoodworks,2,2,509340,0.6,12900,"Man Renovates Old Shelter, Turns It Into Cozy Cabin | Start to Finish by @RobsCarpentryAndWoodworks",2026-05-23
loginnature8516,https://www.youtube.com/@loginnature8516,2,2,482893,6.6,16100,A 36-Month Journey Building a Fully Equipped Wooden Home for a Big Family: @loginnature8516,2026-07-30
petualangsumatera-ul5ml,https://www.youtube.com/@petualangsumatera-ul5ml,2,2,357595,13.8,42800,Man Builds Floating Bamboo Raft House for Family | Start to Finish by @petualangsumatera-ul5ml,2025-11-21
Elseweyr,https://www.youtube.com/@Elseweyr,2,2,355349,0.4,6510,Man Builds a Backyard Tiny House and Turns It into a Home Office | Start to Finish by @Elseweyr,2026-07-10
wildhomestead,https://www.youtube.com/@wildhomestead,2,2,339345,4.8,535000,Man Builds Unique Wooden Cabin in the Deep Forest | From Start to Finish by @wildhomestead,2026-04-29
Woodsimprovisation,https://www.youtube.com/@Woodsimprovisation,2,2,334965,193.2,11700,Man Builds WATERWHEEL That Powers His Entire Riverside House | by @Woodsimprovisation,2026-02-19
bastianbuilders,https://www.youtube.com/@bastianbuilders,2,2,315536,5.3,45000,Man Builds a Multi-Million Dollar Dream Home | Start to Finish@bastianbuilders,2026-07-27
ThisLifeOutdoors,https://www.youtube.com/@ThisLifeOutdoors,2,2,305671,0.3,25900,Man Builds Tiny Cabin using FREE Pallets in the Forest | Start to Finish by @ThisLifeOutdoors,2026-07-30
Holy_Maker,https://www.youtube.com/@Holy_Maker,2,2,276417,24.4,300000,Build a giant two-story house that assembles as quickly as Lego | by @Holy_Maker,2026-08-07
VeganAthlete,https://www.youtube.com/@VeganAthlete,2,2,266496,1.3,290000,Couple Builds Dream Home in the Forest | Self-Sufficient Nomadic Life @VeganAthlete,2026-07-12
DanZalinsky,https://www.youtube.com/@DanZalinsky,2,2,264625,0.3,4460,Man Turns Old School Bus Into Luxury Mobile Home | Start to Finish by @DanZalinsky,2026-05-08
ForestHermit,https://www.youtube.com/@ForestHermit,2,2,239596,1.2,72600,Building a Shelter in the Snowy Forest | Surviving the Harsh Winter | By @ForestHermit,2026-08-06
ThisOffGridLife,https://www.youtube.com/@ThisOffGridLife,2,2,206181,2.3,191000,Man Builds Cozy Off-Grid Cabin with Simple Tools | Start to Finish by @ThisOffGridLife,2026-07-29
Exode-Rénovation,https://www.youtube.com/@Exode-Rénovation,2,2,202765,0.2,21500,"Couple Turns an Abandoned House into a $500,000 Dream Home | Start to Finish by @Exode-Rénovation",2026-05-28
AntonioOff-Grid,https://www.youtube.com/@AntonioOff-Grid,2,2,195221,1.0,352000,Alone in a Hot Tents Amidst a Snowstorm  Warm Winter ASMR 🏕️❄️🔥🎧  By @AntonioOff-Grid,2026-07-28
MasonDixonAcres,https://www.youtube.com/@MasonDixonAcres,2,2,164277,0.7,124000,"From Empty Land to a $450,000 Dream Home in Just 365 Days | Start to Finish by @MasonDixonAcres",2026-07-25
MattBangsWood,https://www.youtube.com/@MattBangsWood,2,2,159627,1.9,483000,Complete House Build From Start to Finish | Framing & Roofing @MattBangsWood  @QuantumMakers ,2026-07-11
DoyoNosssFishing,https://www.youtube.com/@DoyoNosssFishing,2,2,114386,1395.0,15900,Man Transforms Plastic Drums into Boat | From Start To Finish by @DoyoNosssFishing,2026-06-19
mattandmouse,https://www.youtube.com/@mattandmouse,2,2,110460,1.0,2570,A 60-Year-Old Man Builds His Dream Log Home in the Forest | From Start to End@mattandmouse,2026-07-09
lythibinh,https://www.youtube.com/@lythibinh,2,2,105243,1.1,110000,Talented young couple builds two dream wooden houses in 200 days  From start to finish by @lythibinh,2026-01-28
MorizinForest,https://www.youtube.com/@MorizinForest,2,2,95321,16.8,105000,Man Builds a Modern Japanese-Style Frame House From Scratch | by @MorizinForest,2026-03-07
RinaandMichael,https://www.youtube.com/@RinaandMichael,2,2,71929,0.1,17600,Family Builds Dream Camper Van | Start to Finish Conversion by @RinaandMichael​,2026-03-07
DawidOutdoorAdventures,https://www.youtube.com/@DawidOutdoorAdventures,2,2,43741,68.9,92900,Man Makes Mountain Survival  EASY with Stone Fire Place. Start to finish by@DawidOutdoorAdventures,2025-08-29
TNCreativeProject,https://www.youtube.com/@TNCreativeProject,2,2,35204,0.4,10900,Man Builds a Solar Powered Boat from Old Steel Barrels | Start to Finish by @TNCreativeProject​,2026-08-08
BuildingVanLife,https://www.youtube.com/@BuildingVanLife,2,3,27969,0.9,14900,DIY Camper Van Conversion - Entire Build | Start To Finish by @BuildingVanLife,2026-06-03
Ivan-Rogal,https://www.youtube.com/@Ivan-Rogal,2,2,26738,6.2,59300,Building a Perfect Circular House from the Ground Up | Start To Finish by @Ivan-Rogal,2026-08-03
ShevaBushcraft,https://www.youtube.com/@ShevaBushcraft,2,2,25318,5.8,422000,Racing Winter to Build an Off-Grid Cabin by Hand | from beginning to end by @ShevaBushcraft,2026-07-25
Lesnoy_Craft,https://www.youtube.com/@Lesnoy_Craft,2,2,23492,1.8,,He Built a Stone Cabin Alone in the Wilderness Start to Finish | (by @Lesnoy_Craft),2026-06-25
kustorez777,https://www.youtube.com/@kustorez777,2,2,17679,1.6,175000,Crafting Green Perfection: A Grass Cutter’s Tale of Skill and Passion : @kustorez777,2026-07-24
darryldarks,https://www.youtube.com/@darryldarks,2,2,15769,0.7,8910,DIY A-Frame Cabin Build: From Foundation to Finish | Full Construction Journey @darryldarks,2026-07-29
primitivevilla1930,https://www.youtube.com/@primitivevilla1930,2,2,9891,6.2,237000,Start to Finish: Luxury Wooden House with Water Wheel & Hanging Garden Build |@primitivevilla1930,2026-08-07
Hampus_Granstrom,https://www.youtube.com/@Hampus_Granstrom,2,3,8791,107.2,231000,Man Fully Restores Abandoned 1963 Ford | From Start To Finish By @Hampus_Granstrom,2025-03-18
DungBushcraft-dq4cu,https://www.youtube.com/@DungBushcraft-dq4cu,2,3,6089,5.7,108000,A Woman Builds a STRONG Bridge for Her Village—Alone! | Start to Finish by @DungBushcraft-dq4cu,2025-11-18
Library,https://www.youtube.com/@Library,2,2,5663,1.8,,"How a Man Spent $30,000 to Build an Underground Bunker | Start to Finish by @Library of Construction",2026-06-12
The_Rebuild_Lab,https://www.youtube.com/@The_Rebuild_Lab,2,2,5239,0.7,60000,Man bought an abandoned luxury car and restored it to like-new condition |@The_Rebuild_Lab,2026-07-26
Bushcraft__Karina,https://www.youtube.com/@Bushcraft__Karina,2,2,4841,1.2,160000,A Girl Builds a Forest Cabin Alone | Full Timelapse from Start to Finish by @Bushcraft__Karina,2026-02-24
ProcessK,https://www.youtube.com/@ProcessK,2,2,3981,137.3,461000,Building a Beautiful Traditional Korean House: Full Construction Process @ProcessK,2026-04-23
RuralCraftsmanship,https://www.youtube.com/@RuralCraftsmanship,2,2,3359,0.8,70700,1 Day Timber Frame Build: Empty Slab to Full Roof | by @RuralCraftsmanship,2026-08-06
Solo.BushcraftTV,https://www.youtube.com/@Solo.BushcraftTV,2,2,3266,2.0,4430,30 Days Building a Stone & Wood Survival Shelter with Outdoor Cooking | @Solo.BushcraftTV,2026-08-02
LESNUE,https://www.youtube.com/@LESNUE,2,2,2892,0.9,2650000,Building a Massive 2-Room Treehouse in a 200-Year-Old Tree (Start to Finish)  @LESNUE,2026-06-17
lttivi,https://www.youtube.com/@lttivi,2,2,2477,0.2,108000,Man Builds Incredible Floating Bamboo Raft Home for Family | Start to Finish | by @lttivi ‬,2026-07-28
SimpleLifeBushcraft,https://www.youtube.com/@SimpleLifeBushcraft,2,2,1489,4.6,246000,A Man Trapped in the Wilderness: How One Forgotten House Saved My Life | By @SimpleLifeBushcraft,2026-08-03
RescueStory,https://www.youtube.com/@RescueStory,2,2,1271,0.6,650000,61 Years old Abandoned Motorcycle Back to Life (by @RescueStory ) ASMR Restoration ,2025-12-27
alex_wildlife,https://www.youtube.com/@alex_wildlife,2,2,1015,0.8,268000,Man builds Underground Forest Cabin Made With NATURAL Logs start to finish by @alex_wildlife,2026-07-30
The,https://www.youtube.com/@The,2,2,922,4.7,1890,Man turns backyard into a luxury outdoor kitchen with pool | by @The Kelley’s Country Life,2026-04-05
OlegDim,https://www.youtube.com/@OlegDim,2,2,756,1.9,74900,DIY Van Conversion: Turning a Van into a Fully Functional Mobile Home | By @OlegDim,2026-06-10
WoodworkingProjectsDIY,https://www.youtube.com/@WoodworkingProjectsDIY,2,2,658,1.2,785000,Man builds motorbike out of wood / Invent and execute from start to finish @WoodworkingProjectsDIY,2025-01-03
Restavraciya,https://www.youtube.com/@Restavraciya,2,2,395,7.0,217000,🎯 Old Weapon Transformed into a Fiery Masterpiece! 🔥 | @Restavraciya,2026-02-19
divanstroy,https://www.youtube.com/@divanstroy,2,2,379,1.2,655000,Man Builds Incredible Wood Cabin from Scratch | Start to Finish Full Build.  @divanstroy​,2026-05-11
woodjunkie,https://www.youtube.com/@woodjunkie,2,2,174,1.6,6,We built a low cost house in 7 days  Entire Construction Process By @woodjunkie yt,2026-07-31
RCPlayGround,https://www.youtube.com/@RCPlayGround,2,2,75,3.4,387000,Man Builds Hyperrealistic RC All-Terrain Vehicle Worth $2000 - Capo CD 1582X Queen by @RCPlayGround,2025-02-09
RenovationProcess,https://www.youtube.com/@RenovationProcess,2,4,11,1.0,212000,Single woman restores her mother's old house and transformed -- by@RenovationProcess,2026-08-09
havgs1701,https://www.youtube.com/@havgs1701,2,2,10,1.1,62400,A Man Builds His Dream Wilderness Cabin Using Only Logs and Stone | by @havgs1701,2026-06-28
WildBushDrive,https://www.youtube.com/@WildBushDrive,1,2,15313144,24.0,47500,Digging Your Own Survival Tunnel — Completely Hidden in the Forest  By @WildBushDrive,2026-07-08
Restoratorman,https://www.youtube.com/@Restoratorman,1,1,3680489,3.5,41200,Man Fully Restores Abandoned Kawasaki Motorcycle back to New | Start to Finish by @Restoratorman,2025-11-04
MrWildNature,https://www.youtube.com/@MrWildNature,1,1,3295466,3.2,524000,Man Builds Dream Mountain House on Impossible Terrain | Start to Finish by @MrWildNature,2025-09-21
serkanbilginbushcraft,https://www.youtube.com/@serkanbilginbushcraft,1,1,2429667,3.8,139000,Rebuilding an Abandoned Wooden House in the Forest With a Loyal Dog 🐕🌲🔥 By @serkanbilginbushcraft,2026-07-06
Bourbonmoth,https://www.youtube.com/@Bourbonmoth,1,1,2181648,2.1,1250000,Man Uses Cattle Trough to Build an Amazing Motorboat | Full Build by @Bourbonmoth,2026-05-30
syromyatnikov,https://www.youtube.com/@syromyatnikov,1,1,1790693,2.2,22600,Man Builds a House ALONE 20 Minutes TIMELAPSE | Start to Finish by @syromyatnikov,2026-02-20
