confianza,similitud,palabras_genericas,VIDEO_SIN_CREDITO_titulo,VIDEO_SIN_CREDITO_canal,VIDEO_SIN_CREDITO_url,perpetuidad,views,dias,CREADOR_INFERIDO,REFERENCIA_que_si_acredita_titulo,REFERENCIA_canal,palabras_en_comun
ALTA,1.0,,coolest all terrain vehicles,22TechZoom,https://www.youtube.com/watch?v=nlKH9oyISPI,57627,52574,812,@SHERPATV,COOLEST AMPHIBIOUS ALL-TERRAIN VEHICLES YOU MUST SEE,Maexology,"all, coolest, terrain, vehicles"
ALTA,1.0,,How He Built A Secret Underground Cabin Hidden In The Forest | Full DIY Survival Build,KLIFS TECH,https://www.youtube.com/watch?v=w71r0EKYU0w,41644,35455,608,@PolissyaBushcraft,Hidden Cabin: He Built This Alone in the Forest@PolissyaBushcraft,Hidden Cabin ,"cabin, forest, hidden"
ALTA,1.0,,Man Builds Stunning Off-Grid Wooden Cabin Deep in the Forest | From Start to Finish,Maker World,https://www.youtube.com/watch?v=bmGLPKuAx5I,41027,26508,245,@OneFootOfftheGrid,Couple Builds OFF-GRID Luxury Wooden Cabin Deep in the Forest |Start to Finish@OneFootOfftheGrid ​,Build Maker,"cabin, deep, forest, grid, off, wooden"
ALTA,1.0,,Military Technologies That Are On Another Level,99Techspot,https://www.youtube.com/watch?v=OlxASnfpbsU,37633,33461,726,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,Man Turns a MASSIVE Log Into a Beautiful Canoe!,Lord Gizmo,https://www.youtube.com/watch?v=gQqL-cVFtrA,36161,32871,799,@OutbackMike,This Man Turns Massive Log into Stunning CANOE @OutbackMike,Cortexa TV,"canoe, log, massive, turns"
ALTA,1.0,,✅🔰 Ingenious Construction Workers with Skills You Must See,TTI Build Stories ,https://www.youtube.com/watch?v=e2HR8TaUFxw,33356,33356,2132,@sultanoffdecor,Ingenious Construction Workers with Skills You Must See ▶5,TechFreeze,"construction, ingenious, must, skills, workers"
ALTA,1.0,,Mega Harvesting & Planting Machines   Modern Agriculture Machines Entirely On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=wL_TAOXkG3M,31317,30966,1202,@nexat_agriculture,Modern Agriculture Machines That Are On Another Level,KLIFS TECH,"agriculture, another, level, machines, modern"
ALTA,1.0,,One Man Builds Massive Log Cabin from Scratch | Solo Survival Build,Quantum Build Studio,https://www.youtube.com/watch?v=bWv6pWbyGh0,30917,17933,183,@matt.jacobs1,Man builds log cabin in one year/ start to finish @matt.jacobs1,SwiftBuild,"cabin, log, one"
ALTA,1.0,,"Mind-Blowing, Super Powerful Machines and Heavy-Duty Attachments That Are on Another Level.",Lord Gizmo,https://www.youtube.com/watch?v=2EgnaU2TXnA,30505,28485,903,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,He Built A Two-Story Off-Grid Forest Lodge By Hand: Full Build Start To Finish,KLIFS TECH,https://www.youtube.com/watch?v=Yr0yUhbCqOY,30503,25143,537,@TheOffGridExperience,Man Builds 2-Story Lodge in the Forest | Start to Finish by @TheOffGridExperience,Quantum Makers,"forest, lodge, story"
ALTA,1.0,,Off-Grid Duck Farming: Building a Duck House - From Foundation to Finish | From Egg to Table,Innovative Tech World,https://www.youtube.com/watch?v=hqwFBcAo3jc,26402,21708,532,@my_off-grid_story,Couple Builds Amazing Off-Grid House | Start to Finish by @my_off-grid_story,Maexology,"grid, house, off"
ALTA,1.0,,Flood Recovery: Building a Sustainable Home Off the Grid After Devastating Floods,Innovative Tech World,https://www.youtube.com/watch?v=nKZYTwoepng,25230,19478,425,@GrumpyToadCreations,We Built an Off Grid Home in 2 Years | Start to Finish By @GrumpyToadCreations,Cabin Maker,"grid, home, off"
ALTA,1.0,,POWERFUL Soil AND Landfill Compactor Machines That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=r0TqfvXL58o,24696,24350,1184,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,"""6 Months Building a Cabin in the Forest"". Off the Grid from Start to Finish",Innovative Tech World,https://www.youtube.com/watch?v=PxhjHzOxBhA,23954,20976,681,@LifeontheMoose,Man Builds OFF-GRID CABIN in the Michigan Forest | Start to Finish by @LifeontheMoose,COLLAB,"cabin, forest, grid, off"
ALTA,1.0,,POWERFUL Agriculture Machines And HARVESTERS That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=CwrowIRyeXo,23732,23440,1195,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Man Builds an Incredible DIY Wooden Cabin in the Forest | Start to Finish,Maker World,https://www.youtube.com/watch?v=_pj32FsV3Fs,23157,14273,215,@WildGnomos,Full Wooden Cabin Build in the Forest | Off-Grid Cabin Construction @WildGnomos @QuantumMakers ,CabinCraft,"cabin, forest, wooden"
ALTA,1.0,,Mind Blowing Construction Technologies You Must See - The Future of Building Is Here,Lord Gizmo,https://www.youtube.com/watch?v=rWMVKQ907jk,22934,13386,186,@structuredbuildandliftsyst1396,CONSTRUCTION TECHNOLOGIES YOU MUST SEE,KLIFS TECH,"construction, must, technologies"
ALTA,1.0,,Horse machine that are on another level. Incredible machines and ingenious tools.,AKLA GELEN,https://www.youtube.com/watch?v=p5MZfysGMBI,21158,21158,1394,@winnidesigns,Ingenious tools that are on another Level ▶1,TechFreeze,"another, ingenious, level, tools"
ALTA,1.0,,Incredible Construction Technologies And Techniques That Have Reached A New Level,Lord Gizmo,https://www.youtube.com/watch?v=jyPaty8R0NU,20336,17013,568,@liteform,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"construction, have, level, reached, technologies"
ALTA,1.0,,Modern And Powerful Agriculture Machines That Are At Another Level,Lord Gizmo,https://www.youtube.com/watch?v=4qUhXLE8ReQ,20100,19774,1170,@nexat_agriculture,Modern Agriculture Machines That Are On Another Level,KLIFS TECH,"agriculture, another, level, machines, modern"
ALTA,1.0,,MOST Impressive And Powerful Mining Machines And Other Equipment That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=YNWxWc1cxlg,19654,19168,1118,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,POWERFUL Specialized Machines That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=Q47I3w35Zz0,18088,17888,1203,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Military Technologies That Are On Another Level,99Techspot,https://www.youtube.com/watch?v=5JP1b3Fx9Zs,16362,13644,561,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,Man Builds AMAZING House ALONE in ONLY 500 Days | Start to Finish by,BRAIN TIME VT,https://www.youtube.com/watch?v=LVrhoKYKKc0,15623,8926,176,@DmitryLukinDIY,"He Builts a Huge House Alone With a Few $1,000s in Only 500 Days. By @DmitryLukinDIY",KLIFS TECH,"500, house, only"
ALTA,1.0,,"Man Builds a Magical Underground Hobbit House for Only $2,000 (Lord of the Rings Dwarves)",Renov Master,https://www.youtube.com/watch?v=Jfmttiia0qY,14934,8176,158,@AloshaLynov,"$2,000 Hobbit House Build — Start to Finish Timelapse By @AloshaLynov",TechTalks,"000, hobbit, house"
ALTA,1.0,,SUPER Impressive and Powerful Machines Operating at an INSANE LEVEL,Lord Gizmo,https://www.youtube.com/watch?v=KNy7dGh28WI,14342,14261,1239,@belstonefence3442,Amazing Machines Operating at an INSANE LEVEL ▶3,TechFreeze,"insane, level, machines, operating"
ALTA,1.0,,world's most luxurious cars,22TechZoom,https://www.youtube.com/watch?v=2BEPi3_5dbw,14185,14185,1316,@BuiltintheUSA,Inside Toyota’s Factory Building the World’s Most Powerful and Luxurious Cars 🚗🔥 | @BuiltintheUSA,FixNation,"cars, luxurious, most, world"
ALTA,1.0,,Satisfying POWERFUL Modern Agriculture Machines That Are At Another Level,Lord Gizmo,https://www.youtube.com/watch?v=8d1uFMm9um4,13190,13020,1191,@nexat_agriculture,Modern Agriculture Machines That Are On Another Level,KLIFS TECH,"agriculture, another, level, machines, modern"
ALTA,1.0,SÍ — revisar,48h Alone In The Forest Building A Log Cabin,Innovative Tech World,https://www.youtube.com/watch?v=tj69Jzw3JF8,12169,10848,734,@WoodsandWondersCabin,Woman Builds a Beautiful Log Cabin in the Forest | Start to Finish @WoodsandWondersCabin,BRAIN TIME VT,"cabin, forest, log"
ALTA,1.0,,Man builds a HOUSE Inside a MOUNTAIN | Start to Finish by 小崔农场,Not Fake: fyp,https://www.youtube.com/watch?v=J523JOwuoOk,12165,8068,264,@williamstel,A Man Built a Mini-House Inside a Mountain Slope: Start to Finish by @williamstel ​,CryptoThor,"house, inside, mountain"
ALTA,1.0,,It took me 2 months to build a log cabin in the woods from start to finish.,Innovative Tech World,https://www.youtube.com/watch?v=mBachTDP2xw,11665,8987,422,@WildGnomos,Man Builds Stunning DIY Log Cabin in the Woods | From Start to Finish @WildGnomos,Quantum Build Studio,"cabin, log, woods"
ALTA,1.0,,Man built An Under-Rock Home!,TTI Build Stories ,https://www.youtube.com/watch?v=ivxzfqE0Cso,11569,9171,466,@BushcraftIdeas-e9q,Man Builds Hidden UNDER-ROCK Home in the Jungle | Start to Finish by @BushcraftIdeas-e9q,Quantum Makers,"home, rock, under"
ALTA,1.0,,Military Technologies That Are On Another Level,KLIFS TECH,https://www.youtube.com/watch?v=2_iomQWiIMg,11532,10040,665,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,CRAZY Powerful Wood Splitting Machines On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=2f1rbyFJa-s,11452,11374,1231,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Modern Food Processing Technology And Cool Automatic Machines That Are At Another Level,Lord Gizmo,https://www.youtube.com/watch?v=sPtjoKsXlLE,10940,10658,1112,@sealpacukpartners2747,Modern Food Processing Technology That Are At Another Level,Maexology,"another, food, level, modern, processing, technology"
ALTA,1.0,,They Built This Concrete Modular House in Just 14 Days – Here’s How!,Lord Gizmo,https://www.youtube.com/watch?v=h5nesYAuPm4,10420,7310,312,@WITHPCGLOBAL,The Process of Building a Concrete House in Just 2 Weeks,TechFreeze,"concrete, house, just"
ALTA,1.0,,The Most Impressive Trucks And Trailers You Have To See || Part 2,Lord Gizmo,https://www.youtube.com/watch?v=DhxoRIPnc90,10417,10268,1182,@mobas.ch,Most INCREDIBLE Trucks You HAVE to See,Gear Tech HD,"have, most, trucks"
ALTA,1.0,,MOST UNUSUAL VEHICLES,99Techspot,https://www.youtube.com/watch?v=qQqWXzHOtMk,10371,9464,813,@1BillionTech,Most Unusual Vehicles,22TechZoom,"most, unusual, vehicles"
ALTA,1.0,,From Foundation to Finish: Tiny Home for Off-Grid Living,Innovative Tech World,https://www.youtube.com/watch?v=HK2enAqJUS4,10188,8191,490,@GrumpyToadCreations,We Built an Off Grid Home in 2 Years | Start to Finish By @GrumpyToadCreations,Cabin Maker,"grid, home, off"
ALTA,1.0,,"He Built A Forest Cabin From Stones And Logs With Just Hand Tools – No Power, No Crew",KLIFS TECH,https://www.youtube.com/watch?v=-OxF5l6LhIw,9505,7598,480,@bogdanintheforest4382,Man Builds CABIN with STONES and LOGS in the Forest | by @bogdanintheforest4382 ​,Quantum Makers,"cabin, forest, logs, stones"
ALTA,1.0,,Man Builds Incredible DIY Wood Cabin in the Woods,10 Royal Tech,https://www.youtube.com/watch?v=Q8uEmrAMG2M,9313,6119,257,@DmitryLukinDIY,Man Builds Amazing DIY Wood Cabin in the Woods Start to Finish by @DmitryLukinDIY,Build Maker,"cabin, wood, woods"
ALTA,1.0,,Building a Hidden Vine Tree House Above a Jungle Stream | Rainforest Survival Shelter,Clean & Restore Tech,https://www.youtube.com/watch?v=-MCYlWF-Hp0,9107,3955,92,@norusarubushcraft,Man Builds Survival Shelter In The Rainforest | From Start to Finish by  @norusarubushcraft,Maexology,"rainforest, shelter, survival"
ALTA,1.0,,ALL TERRAIN VEHICLES YOU MUST SEE,Techglobal ,https://www.youtube.com/watch?v=uIV1FC85syE,9017,6672,369,@SHERPATV,COOLEST AMPHIBIOUS ALL-TERRAIN VEHICLES YOU MUST SEE,Maexology,"all, must, terrain, vehicles"
ALTA,1.0,,Innovative Construction Technologies That You Should Know About,Lord Gizmo,https://www.youtube.com/watch?v=Z03uMDPqIkY,8637,8572,1226,@GrippleTV,INCREDIBLE CONSTRUCTION TECHNOLOGIES YOU SHOULD SEE,KLIFS TECH,"construction, should, technologies"
ALTA,1.0,,Jaw-Dropping SUPER Powerful Machines and Heavy Duty Attachments That Are On Another Level!,Lord Gizmo,https://www.youtube.com/watch?v=EO4QRZPYPyE,8428,7597,770,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Amazing All-Terrain Vehicles That Are on Another Level,FuturisticTech,https://www.youtube.com/watch?v=e5G8ZytaupY,8126,7011,641,@RUSSIAN.ATV.PLASTUN,ALL-TERRAIN VEHICLES THAT ARE ON ANOTHER LEVEL,KLIFS TECH,"all, another, level, terrain, vehicles"
ALTA,1.0,,Construction Workers Can't Believe This Technique Works - Most Ingenious Construction Technologies,Lord Gizmo,https://www.youtube.com/watch?v=JXEuCoPUntM,8073,5675,314,@creativelyunited,Construction Workers Can't Believe This Technique Works - Most Ingenious Construction Technologies▶4,AKLA GELEN,"believe, can, construction, ingenious, most, technique, technologies, workers, works"
ALTA,1.0,,Most Luxurious Cars In The World,10 Royal Tech,https://www.youtube.com/watch?v=VWxBPRy90QY,7573,6061,482,@BuiltintheUSA,Inside Toyota’s Factory Building the World’s Most Powerful and Luxurious Cars 🚗🔥 | @BuiltintheUSA,FixNation,"cars, luxurious, most, world"
ALTA,1.0,,Amazing Transforming Vehicles You Didn't Know Exist,TTI Build Stories ,https://www.youtube.com/watch?v=SoM-VcHD0kw,7123,7123,1381,@PEECONmachinery,INCREDIBLE VEHICLES YOU DIDN'T KNOW EXIST,Maexology,"didn, exist, know, vehicles"
ALTA,1.0,,Amazing Machines Operating At An INSANE Level,22TechZoom,https://www.youtube.com/watch?v=qYkvnJtSTgY,7013,5429,429,@FRITSCHBakeryTechnologies,Modern Food Processing Machines operating at an Insane Level ▶2,TechFreeze,"insane, level, machines, operating"
ALTA,1.0,,Brilliant Construction Technologies and Mind-blowing Houses YOU MUST SEE,TTI Build Stories ,https://www.youtube.com/watch?v=FuwOvlU5T1E,6870,6870,1885,@structuredbuildandliftsyst1396,CONSTRUCTION TECHNOLOGIES YOU MUST SEE,KLIFS TECH,"construction, must, technologies"
ALTA,1.0,,SUPER Powerful Futuristic Agricultural Harvesters AND Machines That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=_jv7slMP0o8,6640,6092,833,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Jaw-Dropping SUPER Powerful Machines and Heavy-Duty Attachments That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=dVWgmOgxO54,6500,5954,827,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Man Builds Garage Using Only Wood Pallets with $2000,KLIFS TECH,https://www.youtube.com/watch?v=INTPg5l3HM4,6111,3396,164,@normalguydoesitall,Man Builds Garage with Wood Pallets | Full Build by @normalguydoesitall,Makerium,"garage, pallets, wood"
ALTA,1.0,,CRAZY Powerful Machines and Heavy-Duty Equipment That Are on Another Level,Lord Gizmo,https://www.youtube.com/watch?v=bL1tFPaxlV4,6049,5503,802,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Incredibly Powerful Tools And Equipment That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=ASJHOtyFH0I,5396,5250,1104,@hammerfisttool,AMAZING TOOLS THAT ARE ON ANOTHER LEVEL,Maexology,"another, level, tools"
ALTA,1.0,,Building a House in the Woods | Building A Log Cabin Alone,Innovative Tech World,https://www.youtube.com/watch?v=G_1q3goyGlw,4372,3886,725,@WildGnomos,Man Builds Stunning DIY Log Cabin in the Woods | From Start to Finish @WildGnomos,Quantum Build Studio,"cabin, log, woods"
ALTA,1.0,,Military Technologies That Are On Another Level,KLIFS TECH,https://www.youtube.com/watch?v=si4eeFwq-9c,4103,3537,639,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,A Man Builds a Secret Tree House | From Start to Finish,Smart Fox,https://www.youtube.com/watch?v=X6qqhIQjRa8,3935,3046,429,@ArtSportArtSport,Building Secret Tree House in the Middle of the Forest | Start to Finish by ‪@ArtSportArtSport,KLIFS TECH,"house, secret, tree"
